player_id,player_name,age,position,team,injury_risk_score,age_risk,workload_risk,contact_risk,tackle_risk,recovery_risk,intensity_risk,fatigue_risk,risk_category,risk_rank
30976,Enzo Le Fée,23,MF,Lorient,0.8023312655086849,0.31,0.9528535980148883,0.40198511166253104,0.9776674937965261,0.9776674937965261,0.9702233250620348,0.9751861042183623,CRITICAL,1
30486,Javi Galán,28,DF,Celta Vigo,0.8022073954983923,0.31,0.7861736334405145,0.9710610932475884,0.882636655948553,1.0,0.8954983922829582,0.8713826366559485,CRITICAL,2
30813,Vinicius Júnior,22,FW,Real Madrid,0.7917290076335877,0.31,0.9770992366412213,0.9885496183206107,0.6679389312977099,0.9732824427480916,0.9732824427480916,0.9732824427480916,VERY HIGH,3
31222,Gideon Mensah,24,DF,Auxerre,0.7809340836012862,0.27,0.8987138263665595,0.8086816720257235,0.882636655948553,0.9614147909967846,0.8745980707395499,0.9372990353697749,VERY HIGH,4
30126,Thierry Correia,23,DF,Valencia,0.7718215434083601,0.31,0.7990353697749196,0.9710610932475884,0.882636655948553,0.9614147909967846,0.7717041800643086,0.7041800643086816,VERY HIGH,5
32067,Iyenoma Udogie,20,DF,Udinese,0.7621752411575564,0.31,0.7877813504823151,0.9710610932475884,0.882636655948553,0.9887459807073955,0.7041800643086816,0.6704180064308681,VERY HIGH,6
30784,Gabriel Jesus,25,FW,Arsenal,0.7490877862595421,0.27,0.9580152671755725,0.9274809160305344,0.6679389312977099,0.8702290076335878,0.7213740458015268,0.7290076335877863,VERY HIGH,7
29830,Eliesse Ben Seghir,17,FW,Monaco,0.7437213740458015,0.35,0.6183206106870229,0.9274809160305344,0.9083969465648855,0.8320610687022901,0.8396946564885496,0.8854961832061069,VERY HIGH,8
29826,Jude Bellingham,19,MF,Dortmund,0.7423263027295285,0.35,0.9727047146401985,0.7965260545905707,0.27791563275434245,0.9875930521091811,0.9081885856079405,0.8784119106699751,VERY HIGH,9
30792,Paul Joly,22,DF,Auxerre,0.7403906752411576,0.31,0.8167202572347267,0.35852090032154343,0.9742765273311897,0.9083601286173634,0.9115755627009646,0.9646302250803859,VERY HIGH,10
30475,Jeremie Frimpong,22,DFMF,Leverkusen,0.7325294117647059,0.31,0.8676470588235294,0.7794117647058824,0.4852941176470588,0.9705882352941176,0.9411764705882353,0.75,VERY HIGH,11
31792,Téji Savanier,31,MF,Montpellier,0.7304156327543424,0.35,0.9255583126550868,0.9702233250620348,0.27791563275434245,0.8610421836228288,0.8957816377171216,0.9230769230769231,VERY HIGH,12
29674,Benjamin André,32,MF,Lille,0.7279342431761786,0.35,0.9578163771712159,0.40198511166253104,0.9776674937965261,0.9702233250620348,0.8759305210918115,0.9330024813895782,VERY HIGH,13
31628,Rafael Ratão,27,FW,Toulouse,0.7259961832061068,0.27,0.6412213740458015,0.7824427480916031,0.9770992366412213,0.9045801526717557,0.8778625954198473,0.9541984732824428,VERY HIGH,14
29908,Sofiane Boufal,29,FWMF,Angers,0.7187929936305733,0.31,0.6242038216560509,0.802547770700637,0.732484076433121,0.9936305732484076,0.9936305732484076,1.0,VERY HIGH,15
30261,Luis Díaz,26,FW,Liverpool,0.7132099236641223,0.27,0.7862595419847328,0.7824427480916031,0.6679389312977099,0.7900763358778626,0.8435114503816794,0.9083969465648855,VERY HIGH,16
